time;isFOMCmonth;MM_IV1;MM_IV5
200511;1;-0.0081055;-0.0165339
200512;1;-0.0005858;-0.0190644
200601;1;0.023098;-0.0075533
200602;0;0;0
200603;1;0.0502922;0.0008596
200604;0;0;0
200605;1;0.0651162;0.0587518
200606;1;-0.0038328;0.0160171
200607;0;0;0
200608;1;-0.0227027;-0.0031365
200609;1;0.014136;0.0171671
200610;1;-0.0072336;-0.013478
200611;0;0;0
200612;1;0.0457316;0.0195827
200701;1;0.0031799;-0.0220952
200702;0;0;0
200703;1;-0.0233131;-0.0361126
200704;0;0;0
200705;1;0.0395906;0.0220743
200706;1;0.0171214;-0.0062211
200707;0;0;0
200708;1;0.0582901;0.0313409
200709;1;-0.1238763;-0.1146385
200710;1;0.0477987;0.0100476
200711;0;0;0
200712;1;0.0969778;0.08103
200801;1;-0.1849399;-0.0860736
200802;0;0;0
200803;1;0.1980349;0.0941893
200804;1;0.0130809;-0.0304133
200805;0;0;0
200806;1;0.0259503;0.0373511
200807;0;0;0
200808;1;0.0140723;-0.0094158
200809;1;0.1050761;0.1021717
200810;1;-0.0383294;0.0187626
200811;1;0.0641779;0.0180891
200812;1;-0.0251588;-0.039907
200901;1;0.0088741;-0.0057438
200902;0;0;0
200903;1;0.0614497;0.0069707
200904;1;0.0289525;0.0088421
200905;0;0;0
200906;1;0.0661696;0.0412956
200907;0;0;0
200908;1;0.0301928;0.0241552
200909;1;-0.0368859;-0.0072332
200910;0;0;0
200911;1;-0.019912;0.0113616
200912;1;-0.0132974;-0.0069837
